word,pos,profile,definition,example,unit
carbon dioxide,noun,B2,"a gas that is produced when people and animals breathe out, or when carbon is burned (formula CO2 )",A carbon footprint is the amount of carbon dioxide (CO2) we produce.,Unit 14
carbon footprint,noun,B2,the amount of carbon dioxide (= a gas produced when carbon is burned) that one person's activities produce,I'm trying to reduce my carbon footprint.,Unit 14
career,noun,B1,"a job that you do for a lot of your life, especially one for which you are trained",a successful career in marketing,Unit 12
careful,adjective,A2,giving a lot of attention to what you are doing so that you do not have an accident or make a mistake,"Be careful, Michael - that knife's sharp.",Unit 06
Caribbean Sea,noun,,a sea of the Atlantic Ocean which is north of South America,It’s an island nation in the Caribbean Sea.,Unit 12
case,noun,A2,a large bag with a handle which you use for carrying clothes in when you are travelling,Can I put my case in the back?,Unit 04
cash,noun,A2,money in the form of coins or notes (=paper money),I'm taking £50 in cash.,Unit 05
cash machine,noun,,"a machine, usually in a wall outside a bank, that you can get money from using a plastic card",How often do you use a cash machine?,Unit 05
catch up with,phrasal verb,B1,to learn or discuss the most recent news,catch up with friends,Unit 09
catering,noun,B2,providing food and drinks for people,Who did the catering for the party?,Unit 02
centimetre / cm,noun,A2,"a unit for measuring length, equal to 0.01 metres",It was 38 cm across.,Unit 06
Central America,noun,,a region between North and South America,They were made by people in Central America.,Unit 08
certificate,noun,B1,an official document that gives details to show that something is true,I've got a certificate in Food Safety for Catering.,Unit 02
change,verb,A1,to make something become different,Would you mind changing our appointment?,Unit 01
change,noun,A2,the money that you get back when you pay more for something than it costs,Do you usually give the change to taxi drivers as a tip?,Unit 04
change,verb,A2,to get one type of money in exchange for a different type,"Can I change these euros, please?",Unit 05
changing room,noun,,"a room in a shop where you can try clothes, or a room where you change into clothes to do sport",I don’t mind the changing rooms.,Unit 06
charge,noun,B1,"the amount of money that you have to pay for something, especially a service or activity",Is there an extra charge for that?,Unit 10
cheap,adjective,A1,"not expensive, or costing less than usual",a cheap flight,Unit 03
check,verb,A2,to look at something to make sure that it is right or safe,Check that you've locked the door.,Unit 13
check out,verb,B1,to leave a hotel after paying your bill,When's check-out time?,Unit 10
cheerful,adjective,B1,happy,She seemed fairly cheerful.,Unit 06
Cheers.,exclamation,B1,something friendly that you say before you start to drink alcohol with someone,Cheers!,Unit 09
cheese,noun,A1,a yellow or white solid food made from milk,Tomato and cheese bruschetta,Unit 03
chicken,noun,A2,the meat of a chicken,Roast chicken was for special occasions.,Unit 03
childhood,noun,B1,the part of your life when you are a child,She had an unhappy childhood.,Unit 01
chilli,noun,A2,"a small, thin, red or green vegetable that tastes very hot",5ml chopped dried chillies,Unit 03
chop,verb,B2,to cut something into small pieces,Chop the onion and pepper.,Unit 03
chore,noun,,a boring job that you must do,I find cooking a real chore.,Unit 03
church,noun,A2,a building where Christians go to pray,We used to go to church every Sunday morning.,Unit 06
cinema,noun,A1,a building where you go to watch films,I like going to the cinema.,Unit 05
classical,adjective,A2,traditional in style,classical and modern dance,Unit 01
clay,noun,,"a heavy soil that is hard when it is dry, used for making bricks and containers",It’s made of clay.,Unit 01
clean,verb,A1,to remove the dirt from something,cleaning windows,Unit 08
clever,adjective,A1,good at learning and understanding things,a clever student,Unit 06
client,noun,B2,someone who pays for services or advice,What is the name of his client?,Unit 06
climate,noun,B1,the weather conditions of an area,"a hot, dry climate",Unit 01
close,adjective,A1,near in distance,It's close to the city centre.,Unit 06
cloud,noun,A2,one of the white or grey things in the sky that are made of small water drops,rain clouds,Unit 11
coast,noun,B1,the land beside the sea,It's on the Mediterranean coast.,Unit 12
coin,noun,B1,"a flat, round piece of metal used as money",a pound coin,Unit 13
cold,adjective,A1,having a low temperature,cold water/weather,Unit 05
cold,noun,A2,a common illness which makes you sneeze,I had a bad cold.,Unit 06
collection,noun,B1,a group of objects of one type that have been collected by one person or in one place,art collection,Unit 12
colour,noun,A1,"red, blue, green, yellow, etc",What colour shall I paint the kitchen?,Unit 09
come back,verb,A2,to return,Have you ever flown to a different country and come back the next day?,Unit 09
comfortable,adjective,A2,making you feel relaxed and free from pain,comfortable shoes,Unit 09
comfortable,adjective,B1,relaxed and without pain,Make yourself comfortable while I fetch you a drink.,Unit 04
comic,noun,A2,a magazine with stories told in pictures,I read one or two comic books a week.,Unit 11
complain,verb,B1,to say that something is wrong or that you are annoyed about something,I'm writing to complain about the service provided by your agency.,Unit 11
complaint,noun,B1,when someone says that something is wrong or not good enough,I wish to make a complaint.,Unit 13
completely,adverb,B1,in every way or as much as possible,It’s completely different from school.,Unit 11
complicated,adjective,B1,with many different parts and difficult to understand,The instructions were so complicated.,Unit 11
computer,noun,A1,an electronic machine that can store and arrange large amounts of information,We've put all our records on computer.,Unit 02
concrete,noun,B2,a wet mixture that is used in building and that becomes hard when it dries,concrete blocks,Unit 13
conference,noun,B1,"an event, sometimes lasting a few days, at which there are a group of talks on a particular subject, or a meeting in which especially business matters are discussed formally",A conference room for business meetings.,Unit 01
Congratulations!,exclamation,A2,something that you say when you want to congratulate someone,I hear you're getting married. Congratulations!,Unit 11
contact,verb,A2,to telephone someone or write to them,I'll ask her to contact you. ,Unit 11
contact,noun,B1,when you communicate with someone,They're not in contact now.,Unit 09
continue,verb,B1,to keep doing something,"If you continue along Damrak, you'll come to the Dam.",Unit 02
convenient,adjective,B1,near or easy to get to,The new supermarket is very convenient for me.,Unit 04
cooking,noun,A2,preparing food for people to eat,I do the cooking.,Unit 07
cool,adjective,B1,slightly cold,a cool drink,Unit 03
cool,verb,B2,to make something become less hot,Yawning is simply a way of cooling the brain.,Unit 01
cost,verb,A2,"If something costs a particular amount of money, you have to pay that in order to buy or do it.",You shouldn't ask people how much their home cost.,Unit 11
cotton,noun,B1,cloth or thread that is made from the cotton plant,a cotton shirt,Unit 09
could,modal verb,B1,used to talk about what is possible or might happen,We could get a group together.,Unit 05
could,modal verb,A2,used as a more polite form of 'can' when asking someone to provide something or do something:,"Could you just tell me your names, please?",Unit 08
could,modal verb,A2,used as the past form of 'can' to talk about what someone or something was able or allowed to do,Sorry I couldn't come to your party last Saturday.,Unit 01
countryside,noun,A2,"land that is not in towns or cities and has farms, fields, etc",A comfortable house in the countryside.,Unit 09
course,noun,A1,a series of lessons about a particular subject,Last year I did a course in marketing.,Unit 09
course,noun,A2,a part of a meal,"If I want to spend hours cooking a three-course dinner for friends, I can find all the ingredients I need at my local supermarket.",Unit 11
cream,noun,A2,"a thick, white liquid that is taken from milk",Cream on strawberries was a luxury.,Unit 02
credit,noun,,"a method of paying for goods or services at a later time, usually paying interest as well as the original money",Grameen's customers can't usually get credit from normal banks.,Unit 03
credit card,noun,A1,a small plastic card that allows you to buy something and pay for it later,He paid by credit card.,Unit 03
crowded,adjective,A2,very full of people,a crowded train,Unit 05
cry,verb,A2,to produce tears from your eyes because you are sad,"Babies cry, on average, for two or three hours every day.",Unit 04
Cuban,adjective,,coming from or relating to Cuba,I play more Cuban music.,Unit 03
cucumber,noun,B1,"a long, green vegetable that you eat in salads",a fresh cucumber salad,Unit 09
culture shock,noun,,the feeling of confusion someone has when they go to a new and very different place,When people move to a new country they often get culture shock.,Unit 01
currency,noun,B1,the units of money used in a particular country,foreign currency,Unit 03
curry,noun,A2,"a type of food from India, made of vegetables or meat cooked with hot spices",a ready-made lasagne or curry,Unit 01
custom,noun,B1,a habit or tradition,learn about the customs and traditions,Unit 05
cut,verb,A2,to use a knife or other sharp tool to divide something or make a hole in something,Cut the meat into small pieces.,Unit 03
CV (Curriculum Vitae),noun,B1,"a document which describes your qualifications and the jobs you have done, which you send to an employer that you want to work for",Send us your CV.,Unit 07
cycle,verb,B1,to ride a bicycle,He normally cycles for 25 minutes to wash the clothes.,Unit 03
dark,adjective,A1,nearer to black than white in colour,It's dark blue.,Unit 02
days,noun,,used to talk about a particular period of time when something happened or existed,"In the days before the Internet, I'd check the television news.",Unit 06
day trip,,A2,a visit to a place in which you go there and come back on the same day,Do you organise day trips? ,Unit 08
deaf,adjective,B1,not able to hear,Many deaf people learn to lip read.,Unit 13
"Dear …, ",adjective,A1,"used at the beginning of a letter, before the name of the person you are writing to","Dear Marc, …",Unit 07
decide,verb,A2,to choose something after thinking about the possibilities,She's decided to take the job.,Unit 09
defeat,,B1,to win against someone in a fight or competition,Akebono defeated Konishiki.,Unit 12
degree (Celsius),noun,A2,"a unit for measuring temperature, shown by the symbol ° written after a number","A lightning bolt heats the air to about 30,000 °C (degree Celsius).",Unit 01
degree,noun,B1,a qualification given for completing a university course,I wanted to do a degree in art.,Unit 13
delighted,adjective,B1,very pleased,They are delighted with their new car.,Unit 06
department,noun,A2,"a part of an organisation, such as school, business or government which deals with a particular area of work",I work in the IT department.,Unit 02
describe,verb,A2,to say what someone or something is like,I tried to describe what I had seen.,Unit 09
dessert,noun,A2,sweet food that is eaten after the main part of a meal,a dessert course,Unit 02
die,verb,A1,to stop living,I think I would die without it.,Unit 08
difficult,adjective,A1,not easy and needing skill or effort to do or understand,difficult to see,Unit 12
digital camera,noun,A2,a type of camera that records images that you can use and store on a computer,I remember when I got my f rst digital camera.,Unit 13
directions,noun,A2,"instructions that tell you how to get to a place, or how to do something",We stopped to ask for directions.,Unit 13
discount,noun,A2,when a price is made lower,They offer a 10 percent discount on rail travel for students.,Unit 13
discover,verb,B1,to be the first person to find something important,This strange book was discovered by Wilfred Voynich.,Unit 07
dish,noun,A2,part of a meal,"What dishes can you, or people you know, cook?",Unit 05
dishwasher,noun,B1,"a machine that washes plates, glasses and other kitchen equipment",Is your dishwasher only half full?,Unit 08
dislike,verb,B1,to not like someone or something,Why do you dislike her so much?,Unit 03
do (+ work/studies),verb,A1,to study,"I've done courses in music, local history and Spanish.",Unit 06
do (+ chores/sport),verb,A1,to perform an action or job,Doing the vacuuming may be a better way to keep fit.,Unit 06
do (+ date / time),verb,,to be able to do something or go somewhere with someone at a particular time,Can you do tomorrow?,Unit 10
doctorate,noun,,the most advanced type of qualification from a university,I'm doing a doctorate in archaeology.,Unit 02
document,noun,A2,a piece of paper with official information on it,work documents on the computer,Unit 08
forget,verb,A1,to not remember to do something,Don't forget to bring a guidebook!,Unit 05
done,adjective,A2,finished or completed,"I've done courses in music, local history and Spanish.",Unit 02
dormitory (= student hall US),noun,,"a large bedroom with a lot of beds, especially in a school",I've lived in a dormitory.,Unit 11
double,verb,B2,"to increase and become twice the original size or amount, or to make something do this",The urban population in Asia and Africa will double.,Unit 07
double room,noun,A2,a room in a hotel for two people,Could I book a double room?,Unit 10
down,preposition,A2,along,Go down the big street.,Unit 07
drawing,noun,A2,a picture made with a pencil or pen,Other people say it's really just a bad drawing of part of South America.,Unit 08
dream,adjective,B1,"the perfect holiday/house/job, etc, that you want more than any other",his dream home,Unit 12
dried,verb,A2,PAST of dry,5ml chopped dried chillies,Unit 03
drinks machine,noun,,a machine which sells drinks,a drinks machine in the corner,Unit 07
drive,verb,A1,"to make a car, bus, or train move, and control what it does",She's learning to drive.,Unit 04
driver,noun,A1,someone who drives a vehicle,He's got a car with a driver for his job.,Unit 04
driving licence,noun,A2,an official document that allows you to drive a car,Do you have a driving licence?,Unit 02
driving test,noun,,an official test of your driving skills that you must pass so that you can drive a car on your own,I passed my driving test first time.,Unit 09
drop by,phrasal verb,,"to visit someone for a short time, usually without arranging it before",Is it all right if I drop by tomorrow?,Unit 01
during,preposition,A2,at a particular moment in a period of time,"During rush hour, a Canadian man and his teenage son got in the cab.",Unit 04
dust,verb,,to remove dust from something,The most frightening moments were the dust storms.,Unit 06
earn,verb,A2,to get money for doing work,You shouldn't talk about how much you earn.,Unit 05
east,noun,A2,the direction you face to see the sun rise,It’s in the east of Italy.,Unit 12
easy,adjective,A1,not difficult,Everyone's easy to work with. ,Unit 02
economy,noun,B2,the system by which a country makes and uses goods and money,The country's economy is unique.,Unit 12
election,noun,B1,a time when people vote in order to choose someone for a political or official job,It has elections every four years. ,Unit 12
electric shaver,noun,,a piece of electrical equipment used to cut hair off the face or body,I have an electric shaver.,Unit 14
electricity,noun,A2,"a type of energy that can produce light and heat, or make machines work",The electricity has been turned off.,Unit 07
else,adverb,A2,in addition to someone or something,Anything else?,Unit 05
email account,noun,,an email address and password that allow you to use email,When was the first time you opened an email account?,Unit 13
empty,adjective,A2,with nothing or no one inside,an empty house,Unit 03
en suite ,adjective,A1,An en suite bathroom is directly connected to a bedroom,en suite bathroom,Unit 10
energy,noun,B1,the power and ability to be very active without becoming tired,I have a lot more energy now.,Unit 06
energy,noun,B1,"the power that comes from electricity, gas, etc",Energy may become too expensive.,Unit 07
enjoy (+ ing),verb,A1,"If you enjoy something, you like doing it",I really enjoy working in a team.,Unit 02
environment,phrase,B1,"the air, land, and water where people, animals, and plants live",The new road may cause damage to the environment.,Unit 07
error,noun,B2,a mistake,a computer error/human error,Unit 13
euro,noun,A2,a unit of money that is used in many European countries; €,"Can I change these euros, please? ",Unit 05
even,adverb,A2,used to emphasize something that is surprising,I don't even have one at home.,Unit 03
ever,adverb,A2,at any time,Have you ever done a course in your free time?,Unit 02
every,determiner,A1,each one of a group of people or things,Every week I do ten minutes' more walking.,Unit 06
exactly,adverb,B2,something you say when you agree completely with someone,"Yes, exactly.",Unit 14
exam,noun,A2,"an official test of how much you know about something, or how well you can do something",a maths exam,Unit 02
exciting,adjective,A1,making you feel very happy and interested,I find it quite exciting.,Unit 14
excuse,noun,B1,a reason that you give to explain why you did something wrong,Give an excuse for not going to Kim's party.,Unit 09
exhausted,adjective,B1,very tired,He looks exhausted.,Unit 09
exhausting,adjective,B2,making you feel very tired,What an exhausting day!,Unit 06
expensive,adjective,A1,costing a lot of money,expensive jewellery,Unit 03
experience,noun,B1,"knowledge that you get from doing a job, or from doing, seeing, or feeling something","I've got experience in sales, administration and catering.",Unit 02
expert,noun,B1,someone who has a lot of skill in something or a lot of knowledge about something,Many experts believe it was made in Europe.,Unit 08
extra ,adjective,A2,additional,Or is there an extra charge for that?,Unit 10
extreme,adjective,B2,very large in amount or degree,extreme weather and storms ,Unit 06
facilities,noun,B1,"the buildings, equipment and services provided for a particular purpose",The facilities could definitely be better.,Unit 06
fail,verb,A2,to not pass a test or an exam,I failed my exams.,Unit 02
fall,verb,A2,to suddenly go down and hit the ground,She fell off her bike.,Unit 04
fall (fell) in love,verb,B1,to be very attracted to someone / something and begin to love it / them,They may fall in love with the new foods. ,Unit 01
famous,adjective,A1,known or recognised by many people,It's famous for its art collection.,Unit 12
fancy,verb,B1,to want to have or do something,Do you fancy having lunch?,Unit 10
fare,noun,B1,"the price that you pay to travel on an aeroplane, train, bus, etc",How much is the minimum fare for a taxi in your city?,Unit 04
fascinating,adjective,B2,very interesting,a fascinating film,Unit 01
fashion,noun,A2,the most popular style of clothes or behaviour at a particular time,Long hair is back in fashion.,Unit 01
favourite,adjective,A1,Your favourite person or thing is the one that you like best.,I think my favourite thing is my TV.,Unit 08
feature,noun,B2,a typical quality or an important part of something,special features ,Intro Unit
feel,verb,B1,to think something or have an opinion,People often feel that the differences are interesting.,Unit 01
feeling,noun,B1,an emotion,guilty feelings,Unit 09
find (sthg or sb),verb,A1,to discover something or someone that you have been looking for,I found the number on the back of the credit card.,Unit 04
find (sthg) + adj,verb,B1,to think or feel a particular way about someone or something,I find travelling stressful.,Unit 04
find your way,phrase,A2,to get somewhere you are trying to reach,I had a map but I still couldn't find my way back to the hotel.,Unit 05
fine,noun,B1,an amount of money that you must pay for doing something wrong,You have to pay a fine if you keep books too long.,Unit 05
finish (+ -ing),verb,A1,to complete something,I've finished my homework.,Unit 12
fireplace,noun,,the part of a wall in a room where you can have a fire,A comfortable house with a ﬁreplace.,Unit 11
"First, …",adverb,B1,before everything or everyone else,"First, the air conditioning is broken.",Unit 11
fitness,noun,B1,the condition of being physically strong and healthy,health and fitness,Unit 14
flexible working hours,phrase,B2,"hours of work that you can choose yourself so that you can do other things, for example spend time with your family",We have flexible working hours.,Unit 02
flood,verb,B1,"If a place floods or is flooded, it becomes covered in water",problems with flooding,Unit 07
floor,noun,A1,a surface that you walk on inside a building,wooden floors,Unit 11
floor,noun,A2,a particular level of a building,on the tenth floor,Unit 11
