word,pos,profile,definition,example,unit
anniversary,noun,B1,a day on which you remember or celebrate something that happened on that day in the past,a wedding anniversary,Unit 03
answer,verb,A1,to speak or write back to someone who has asked you a question,I asked when she was leaving but she didn't answer.,Intro unit
any,determiner,A1,used in questions and negatives to mean 'some',Do you have any street maps?,Unit 06
anything,pronoun,A1,used in questions and negatives to mean 'something',Are you doing anything now?,Unit 13
else,adverb,A1,in addition to someone or something,Would you like anything else?,Unit 06
Anyway,adverb,A2,used when you are returning to an earlier subject,"Anyway, as I said, I'll be away next week.",Unit 11
apartment,noun,A2,a set of rooms for someone to live in on one level of a building or house,She rents an apartment in the city centre.,Unit 05
apologise,verb,B1,to tell someone you are sorry about something you have done,She apologised for losing the contract.,Unit 11
appearance,noun,B1,the way a person or thing looks,She's very concerned with her appearance.,Unit 08
apple,noun,A1,"a hard, round fruit with a green or red skin",He ate an apple.,Unit 02
juice,noun,A1,the liquid that comes from fruit or vegetables,apple juice,Unit 02
appointment,noun,A2,a time you have arranged to see someone,I've made an appointment with the dentist.,Unit 01
Arab,adjective,,relating or belonging to the people of the Middle East or North Africa whose families came from Arabia in the past,Arab countries,Unit 05
Arabic,noun,,the language used by Arab peoples,Do you speak Arabic?,Intro unit
architect,noun,B1,someone who designs buildings,He worked as an architect.,Unit 01
architecture,noun,B1,the design and style of buildings,modern architecture,Unit 07
are,verb,A1,present simple you/we/they of be,We are from Hong Kong.,Unit 01
Argentina,noun,,a country in South America,She comes from Argentina.,Unit 05
arm,noun,A1,"the long part at each side of the human body, ending in a hand",She held the tiny baby in her arms.,Unit 12
armchair,noun,A2,a comfortable chair with sides that support your arms,He sat back in his armchair.,Unit 05
art,noun,A2,"the making of paintings, drawings, etc or the things made",fine/modern art,Unit 07
artistic,adjective,B2,"good at making things, such as paintings and drawings",Both of our children are artistic.,Unit 08
arts,noun,B2,"subjects of study which are not science, such as history and languages",an arts degree,Unit 07
ask,verb,A1,to say something to someone as a question,I asked him about his hobbies.,Intro unit
ask,verb,B1,to say to someone that you would like something from them,Who do employees ask for help with problems?,Unit 07
at,preposition,A1,in a particular place or position,at a lecture; at school,Unit 11
at,preposition,A1,used to show the time something happens,at 7.00,Unit 11
at,preposition,B1,used after an adjective to show a person's ability to do something,good at meeting new people,Unit 11
lunchtime,noun,A2,the time when lunch is eaten,See you at lunchtime.,Unit 10
night,noun,A1,the time when it is dark and people usually sleep,at night,Unit 03
at the moment,phrase,A2,now,She's not here at the moment.,Unit 11
at the weekend,phrase,A1,on Saturday or Sunday,He's going to a football match at the weekend.,Unit 03
at weekends,phrase,A1,"between Friday evening and Sunday night, or on Saturdays and Sundays",They usually go windsurfing at weekends.,Unit 03
ATM,noun,,a machine that you get money from using a plastic card,I got some money out of the ATM.,Unit 06
aubergine,noun,B2,"an oval, purple vegetable that is white inside",roasted aubergines,Unit 06
aunt,noun,A2,"the sister of your mother or father, or the wife of your uncle",We were visiting my aunt and uncle.,Unit 08
Austria  ,noun,,a country in Europe,He was born in Austria.,Intro unit
available,adjective,A2,"If something is available, you can use it or get it",This information is available free on the Internet.,Unit 05
away,adverb,A2,at a particular distance from a place,It's five minutes away.,Unit 05
back,adverb,A1,where someone or something was before,What day does she plan to come back?,Unit 04
back,noun,A2,the part of your body from your shoulders to your bottom,He was lying on his back.,Unit 12
backache,noun,,a pain in your back,She suffers from backache.,Unit 12
backwards,adverb,B1,in the opposite order to what is usual,"Try writing backwards, or writing with your other hand.",Unit 14
bad,adjective,A1,not good or pleasant,bad weather,Unit 04
bad for you,phrase,A2,causing damage to your health,Too much salt is bad for you.,Unit 06
badly paid,phrase,A2,given too little money for the work that you do,Cleaners are generally very badly paid.,Unit 01
bag,noun,A1,a container used for carrying things,a paper bag,Unit 11
baggage collection,noun,, the place in an airport where you get your bags after a flight,I was still waiting for my luggage at baggage collection.,Unit 11
bakery,noun,B2,"a shop where you can buy bread, cakes, etc",There's a very good bakery on the corner.,Unit 07
balcony,noun,B1,a small area on the outside wall of a high building where you can stand or sit,There's a wonderful view from the balcony.,Unit 05
bald,adjective,B1,with little or no hair,John started to go bald at an early age.,Unit 08
banana,noun,A1,"a long, white fruit with a yellow skin",He peeled the banana.,Unit 06
bank,noun,A1,an organization or place where you can save and borrow money,I must remember to go to the bank on my way home.,Unit 04
bare,adjective,B2,not covered by clothes,bare feet,Unit 12
bat,noun,B1,a small animal like a mouse with wings that flies at night,A bat swooped by.,Unit 11
bath,noun,A1,the container that you fill with water and sit in to wash your body,She's in the bath.,Unit 05
bathroom,noun,A1,"a room with a bath, sink (=bowl for washing), and often a toilet",May I use your bathroom?,Unit 05
beach,noun,A1,an area of sand or rocks next to the sea,We walked along the beach.,Unit 05
bean,noun,A2,"a seed or seed case of some climbing plants, that is used as food",soya beans,Unit 06
bear,noun,A2,"a large, strong, wild animal with thick fur",a brown bear,Unit 11
beard,noun,A1,the hair that grows on a man's chin (=the bottom of his face),He's grown a beard.,Unit 08
beautiful,adjective,A1,very attractive,a beautiful woman,Unit 02
beautiful,adjective,A1,very pleasant,beautiful music,Unit 02
beauty spot,noun,,a small dark mark on someone's face,She had a beauty spot on her cheek.,Unit 08
because,conjunction,A1,used to give a reason for something,I like them because they're very sweet.,Unit 06
bed,noun,A1,a piece of furniture that you sleep on,What time did you go to bed last night?,Unit 02
bedclothes,noun,,the sheets and other pieces of cloth that cover you and keep you warm in bed,I've changed the bedclothes.,Unit 05
bedroom,noun,A1,a room used for sleeping in,Lily's in her bedroom.,Unit 05
beef,noun,B1,the meat of a cow,roast beef,Unit 06
been,verb,A2,the past participle of 'be',My parents have never been to the USA.,Unit 13
before,preposition,A1,earlier than something or someone,a week before Christmas,Unit 07
believe,verb,A2,"to think that something is true, or that what someone says is true",She says she's only thirty but I don't believe it.,Unit 13
belt,noun,A2,a thin piece of leather or plastic that you wear around the middle of your body,She fastened her belt.,Unit 11
berry,noun,B2,"a small, round fruit on some plants and trees","berries, such as strawberries and raspberries",Unit 06
best,adjective,A1,good: better than any other,She's one of our best students.,Unit 01
best,phrase,B1,someone or something that is better than any other,He's the best of the new players.,Unit 01
Best wishes.,phrase,A2,something you say or write at the end of a letter,"Best wishes, Pete",Unit 02
better,adjective,A1,good: of a higher quality or more enjoyable than someone or something else,He got a better job in the States.,Unit 09
better,adjective,A1,less ill than before,I feel much better.,Unit 09
better,adverb,A1,"well: more, or in a more successful way",I'd like to get to know him better.,Unit 09
bicycle,noun,A2,a vehicle with two wheels that you sit on and move by turning the two pedals (=parts you press with your feet),Riding a bicycle is good for your health.,Unit 09
-friendly,suffix,,used at the end of words to mean 'not harmful',a bicycle-friendly city,Unit 09
big,adjective,A1,large in size or amount,I come from a big family.,Unit 04
big,adjective,A2,important or serious,Buying that car was a big mistake.,Unit 04
bike lane,noun,,a part of a road that is only for bicycles,I was cycling in the bike lane.,Unit 09
bilingual,adjective,,using or able to speak two languages,a bilingual dictionary,Unit 06
bin,noun,B1,a container that is used to put waste in,I threw it in the bin.,Unit 05
biology,noun,A2,the study of living things,human biology,Unit 07
birthday,noun,A1,"the day on which someone was born, or the same date each year",a birthday party,Unit 10
biscuit,noun,A1,"a thin, flat cake that is dry and usually sweet",I bought a packet of biscuits.,Unit 06
black,adjective,A1,being the colour of the sky on a dark night,a black jacket,Unit 12
block,noun,B1,a large building containing many apartments or offices,a block of flats,Unit 05
blue,adjective,A1,being the same colour as the sky when there are no clouds,a dark blue jacket,Unit 08
boarding,noun,B1,when it is time for people to get on an aircraft,Boarding is at 3.45 from gate 20.,Unit 11
gate,noun,B1,the part of an airport where passengers get on or off an aircraft,Boarding is at 3.45 from gate 20.,Unit 11
boarding pass,noun,,a piece of paper you must show to get on an aircraft,"Can I see your passport and boarding pass, please?",Unit 11
boat,noun,A1,a vehicle for travelling on water,a fishing/sailing boat,Unit 03
body,noun,A1,all of a person or animal,the human body,Unit 12
bone,noun,B1,"one of the hard, white pieces inside the body of a person or animal",He broke a bone in his hand.,Unit 12
book,noun,A1,a set of pages with writing on them fastened together in a cover,a book by Milan Kundera,Unit 02
book,verb,A2,to arrange to use or do something at a time in the future,Can you call the restaurant to book a table?,Unit 06
bookcase,noun,A2,a piece of furniture with shelves for putting books on,We need another bookcase in the office.,Unit 05
bookshop,noun,A2,a shop that sells books,There are several bookshops in town.,Unit 06
boot,noun,A2,a strong shoe that covers your foot and part of your leg,a pair of boots,Unit 02
boring,adjective,A1,not interesting or exciting,a boring job,Unit 01
boss,noun,A2,someone who is responsible for employees and tells them what to do,She was my boss.,Unit 01
both,pronoun,A1,used to talk about two people or things,"Do you prefer tea, or coffee? ""I like both.""",Unit 13
both,determiner,A1,used to talk about two people or things,Both her parents are dead.,Unit 13
bottle,noun,A2,"a container for liquids, usually made of glass or plastic, with a narrow top",I always have a bottle of water on my desk.,Unit 07
bow,verb,,to bend your head or body forward in order to show respect or to thank an audience,The actors all bowed after the performance.,Unit 01
boyfriend,noun,A2,a man or boy who someone is having a romantic relationship with,Have you met Maria's boyfriend?,Unit 01
brain,noun,A2,"the part inside your head that controls your thoughts, feelings, and movements",brain damage,Unit 14
Brazilian,adjective,,coming from or related to Brazil,Brazilian music,Unit 01
bread,noun,A1,a basic food made by mixing and baking flour and water,a slice of bread,Unit 06
break,noun,A2,"when you stop an activity for a short time, usually to rest",I'm tired - I'm going to have a short break.,Unit 04
break,noun,B1,a holiday or period of time away from work or school,We've booked a weekend break in Paris.,Unit 04
breakfast,noun,A1,the food you eat in the morning after you wake up,Have you had breakfast?,Unit 04
bridge,noun,A2,a structure that is built over a river or road so that people can go across it,Brooklyn Bridge,Unit 05
bring,verb,A2,to take someone or something with you when you go somewhere,Did you bring an umbrella with you?,Unit 02
broccoli,noun,B1,a green vegetable with a thick stem,steamed broccoli,Unit 06
brother,noun,A1,a boy or man who has the same parents as you,an older brother,Unit 01
brown,adjective,A1,being the same colour as chocolate,dark brown hair,Unit 08
builder,noun,B1,someone who makes or repairs buildings as a job,"We have builders in, doing some work on our house.",Unit 01
bus stop,noun,A2,a place where buses stop to let passengers get on or off,I saw her waiting at the bus stop.,Unit 05
business,noun,A1,the buying and selling of goods or services,We do a lot of business with China.,Unit 01
business administration,noun,,the rules of business and the way that it is done,a Masters degree in Business Administration,Unit 07
business trip,noun,,a journey that you do when you are working,I'm planning a business trip to Paris in February.,Unit 07
busy,adjective,A2,"working hard, or giving your attention to a particular activity",Mum was busy in the kitchen.,Unit 07
but,conjunction,A1,"used to introduce something new that you say, especially something which is different from what you have just said","I'd drive you there, but I haven't got my car.",Unit 06
butter,noun,A1,"a soft, yellow food made from cream that you put on bread",bread and butter,Unit 06
buy,verb,A1,to get something by giving money for it,I went to the shop to buy some milk.,Unit 04
café,noun,A1,a small restauarnt where you can buy drinks and small meals,We had lunch in a café near here.,Unit 01
cake,noun,A1,"a sweet food made from flour, butter, sugar, and eggs mixed together and cooked",a chocolate cake,Unit 06
call,verb,B1,to give someone a name,Please call me Maite.,Unit 01
call,verb,A2,to telephone someone,Can you call the restaurant to book a table?,Unit 06
camera,noun,A1,a piece of equipment used to take photographs,Did you bring your camera?,Unit 02
camping,noun,A2,when you stay in a tent for a holiday,They go camping a lot.,Unit 14
campsite,noun,B1,an area where people stay in tents for a holiday,We stayed on a really good campsite near the beach.,Unit 14
can,modal verb,A1,to be able to do something,Can you drive?,Intro unit
can,modal verb,A1,to be allowed to do something,Can I use your old rucksack?,Unit 02
can't,modal verb,A1,cannot,I can't drive.,Intro unit
Canadian,adjective,,relating to Canada,a Canadian singer,Unit 01
canal,noun,B1,a river made by people,the Panama canal,Unit 05
cancel,verb,B1,to say that an organized event will not happen,Can you call Denise and cancel our meeting?,Unit 06
capital,noun,B1,the most important city in a country or state,What is the capital of Poland?,Unit 02
capital,noun,B1,a large letter of the alphabet used at the beginning of sentences,Use capital letters for nationalities and languages.,Unit 02
car,noun,A1,"a vehicle with an engine, four wheels, and seats for a few people",Where did you park the car?,Unit 04
carbohydrate,noun,,"a substance in food such as sugar, potatoes, etc that gives your body energy",These are all carbohydrate-based meals.,Unit 06
careful,adjective,A2,giving a lot of attention to what you are doing so that you do not have an accident or make a mistake,"Be careful, Michael - that knife's sharp.",Unit 09
carrot,noun,A2,"a long, thin, orange vegetable that grows in the ground",grated carrot,Unit 06
carry,verb,A1,to hold something or someone with your hands or on your back and take them somewhere,Are you carrying anything for anybody else?,Unit 11
cash machine,noun,,"a machine, usually in a wall outside a bank, that you can get money from using a plastic card",Is there a cash machine near here?,Unit 06
castle,noun,A2,"a large, strong building that was built in the past to protect the people inside from being attacked",There's a castle at the top of the hill.,Unit 05
casual,adjective,B1,casual clothing is comfortable and not suitable for formal occasions,I wear casual clothes to work.,Unit 07
cat,noun,A1,an animal with fur that is kept as a pet,They have a cat and a rabbit.,Unit 04
catch,verb,A1,"to get on a bus, train, etc",Catch the number 42 bus.,Unit 09
catering,noun,B2,providing food and drinks for people,Who did the catering for the party?,Unit 07
cave,noun,B1,a large hole in the ground or in the side of a mountain,an underground cave,Unit 13
CD,noun,A1,a small disc on which music or information is recorded,She has a very big collection of CDs.,Unit 04
CD-ROM,noun,B1,compact disc read-only memory: a CD that holds large amounts of information that can be read by a computer,,Unit 06
ceiling,noun,A2,the top surface of a room,The ceilings are very low in these old houses.,Unit 05
celebrate,verb,B1,to have a party or a nice meal because it is a special day or something good has happened,We went out to celebrate Richard's promotion.,Unit 03
central heating,noun,B1,a system of heating a building by warming air or water in one place and carrying it to different rooms in pipes,Does your house have central heating?,Unit 05
centre,noun,A2,the middle point or part of something,in the city centre,Unit 05
chair,noun,A1,"a seat for one person, with a back and usually four legs",a table and chairs,Unit 05
change,verb,A2,"to become different, or to make someone or something become different",Three small things that changed the world,Unit 04
change,verb,A2,"to get off one bus, plane, etc and get on a different one",You need to change coaches once.,Unit 09
change,noun,A2,when something becomes different,I think change is good for you.,Unit 01
chat,noun,A2,when you talk with someone in a friendly way,Have you got time for a chat?,Unit 13
cheap,adjective,A1,"not expensive, or costing less than usual",a cheap flight,Unit 05
check,verb,A2,to look at something to make sure that it is right or safe,to check the spelling of a word,Unit 06
check-in,noun,B1,"the place at an airport where you go to say that you have arrived for your flight, or the act of going to the check-in to say that you have arrived for your flight",a check-in counter/desk,Unit 11
cheese,noun,A1,a yellow or white solid food made from milk,Would you like a piece of cheese?,Unit 06
chef,noun,A2,someone who cooks food in a restaurant,He works as a chef in a London restaurant.,Unit 07
chemistry,noun,A2,the scientific study of substances and how they change when they combine,She studied chemistry at university.,Unit 07
cherry,noun,B2,"a small, round red or black fruit with a large seed inside",We were eating cherries.,Unit 06
chew,verb,B2,to break food between your teeth as a part of eating,You don't chew your food properly.,Unit 14
chicken,noun,A2,the meat of a chicken (= a bird that is kept on a farm),roast chicken,Unit 06
child,noun,A1,a young person who is not yet an adult,an eight-year-old child,Unit 08
child,noun,A1,"a son or daughter, also when they are adults",Their children have all left home and started families of their own.,Unit 08
children,noun,A1,the plural of 'child',How many children do you have in your class?,Unit 03
China,noun,,a country in Asia,She's from China.,Unit 02
Chinese,adjective,,coming from or relating to China,Chinese students,Unit 14
chip,noun,A1,"a long, thin piece of potato that is cooked in oil",fish and chips,Unit 06
chocolate,noun,A1,"a sweet, brown food that is usually sold in a block",a bar of chocolate,Unit 06
cigarette,noun,A2,"a thin tube of paper filled with tobacco, that people smoke",a packet of cigarettes,Unit 13
cinema,noun,A1,a building where you go to watch films,Shall we go to the cinema tonight?,Unit 02
city,noun,A1,a large town,the city of Boston,Unit 05
city wall,noun,,a wall around a city,Parts of the city wall are still standing.,Unit 13
class,noun,A1,a group of students who have lessons together,We were in the same class.,Unit 01
classmate,noun,A2,someone who is in your class at school or college,You could ask your classmates to help you.,Unit 01
clean,adjective,A1,not dirty,clean hands,Unit 05
client,noun,B2,someone who pays for services or advice,They're a very good client of ours.,Unit 07
close,verb,A1,"If something closes, it moves so that it is not open, and if you close something, you move it so that it is not open.",Lie down and close your eyes.,Unit 12
close,verb,A2,"If a shop or restaurant, etc closes, people cannot go in it.",What time do the shops close?,Unit 05
close,adjective,A2,"If people are close, they know each other well and like each other",We're very close.,Unit 08
clothes,noun,A1,things such as shirts and trousers that you wear on your body,She was wearing her sister's clothes.,Unit 02
coach,noun,A2,a comfortable bus used to take groups of people on long journeys,a coach trip,Unit 09
coat,noun,A1,a piece of clothing that you wear over your other clothes when you are outside,a winter coat,Unit 02
coffee,noun,A1,"a hot drink made from dark beans which are made into a powder, or a cup of this drink",Do you want a cup of coffee?,Unit 02
coin,noun,B1,"a flat, round piece of metal used as money",a pound coin,Unit 14
cold,adjective,A1,having a low temperature,It's really cold here!,Unit 02
cold,noun,A2,a common illness which makes your nose produce liquid,I've got a cold.,Unit 12
colleague,noun,A2,someone that you work with,He's a colleague but I don't know him very well.,Unit 01
college,noun,A2,a place where students are educated after they have stopped going to school,a teacher-training college,Unit 01
collocation,noun,B2,a word or phrase that sounds natural and correct when it is used with another word or phrase,"In the phrase 'a hard frost', 'hard' is a collocation of 'frost', and 'strong' would not sound natural.",Unit 12
comb,noun,A2,"a flat piece of metal or plastic with a line of long, narrow parts along one side, that you use to tidy your hair",Comb your hair for your job interview.,Unit 04
come,verb,A1,to move or travel towards a person who is speaking,Do you want to come to my place for dinner?,Unit 03
come,verb,A1,to go somewhere with the person who is speaking,Do you want to come to my place for dinner?,Unit 03
come with,phrasal verb,A2,to be sold together with something else,Does it come with anything?,Unit 06
comedy,noun,B1,a funny film or play,The film is described as a romantic comedy.,Unit 10
comfortable,adjective,A2,making you feel relaxed and free from pain,a comfortable sofa,Unit 02
comment,noun,B2,something that you say or write that shows your opinion,"You get a lot of comments, like 'Where's the other wheel?'",Unit 09
complain,verb,B1,to say that something is wrong or that you are angry about something,Lots of people have complained about the noise.,Unit 11
computer,noun,A1,an electronic machine that can store and arrange large amounts of information,We've put all our records on computer.,Unit 01
computer shop,noun,,a shop where computers are sold,Is there a computer shop near here?,Unit 06
concert,noun,A2,a performance of music and singing,a pop concert,Unit 02
conference,noun,B1,"a large meeting, often lasting a few days, where people talk about a subject",the annual sales conference,Unit 07
confident,adjective,B1,certain about your ability to do things well,He's fairly confident that he'll win.,Unit 08
consonant,noun,B1,"a letter of the alphabet that is not a vowel. (The vowels are a,e,i,o and u.)",He has difficulty pronouncing some of the consonants.,Unit 01
continue,verb,B1,to keep happening or doing something,It continued to snow heavily for three days.,Unit 14
conversation,noun,A1,when two or more people talk together,a telephone conversation,Unit 04
cook,verb,A1,to make food ready to eat,Who's cooking this evening?,Unit 01
cook,noun,A2,someone who prepares food for people to eat,the school cook,Unit 01
cooker,noun,A2,a piece of equipment used to cook food,an electric cooker,Unit 05
corn,noun,B1,"a crop of grain, or the seed from this crop used to make flour",fields of corn,Unit 06
corner,noun,A2,"the point or area where two lines, walls, or roads meet",There's a table in the corner of my bedroom.,Unit 07
cost,verb,A2,"If something costs a particular amount of money, you have to pay that in order to buy or do it.","It cost $3,995.",Unit 04
costume,noun,B2,"all the clothes that you wear at the same time, usually special clothes",actors in costume,Unit 07
Could you …?,verb,A2,used to ask someone politely to do or provide something,Could you bring my winter coat?,Unit 02
count,verb,B1,to say numbers in their correct order,Can you count from 1 to 100 in English?,Intro unit
country,noun,A2,"an area of land that has its own government, army, etc",She's lived in three different countries.,Intro unit
courgette,noun,B2,"a long, green vegetable which is white inside",fried courgettes,Unit 06
course,noun,A1,a set of lessons about a particular subject,She did a ten-week computer course.,Unit 07
course,noun,A2,a part of a meal,a three-course dinner,Unit 07
couscous,noun,,"crushed wheat, eaten under meat and vegetables, especially in North Africa",We ate a lot of couscous on holiday.,Unit 06
cousin,noun,A2,the child of your aunt or uncle,My aunt came to visit with two of my cousins.,Unit 08
crack,noun,B2,a line on the surface of something that is damaged,There was this really big crack in the ceiling.,Unit 05
cream,noun,A2,"a thick, white liquid that is taken from milk",strawberries and cream,Unit 06
create,verb,B1,to make something happen or exist,Gaudi created one of the best-known pand most unusal parks in Europe,Unit 13
creative,adjective,B1,good at thinking of new ideas and making interesting things,Her book is full of creative ways to decorate your home.,Unit 08
crowded,adjective,A2,very full of people,a crowded train,Unit 05
Cuba,noun,,a country on an island in the Caribbean (=a sea between North and South America),She's from Cuba.,Unit 02
cup,noun,A1,"a small, round container with a handle on the side, used to drink from",a cup of coffee,Unit 02
cupboard,noun,A2,"a piece of furniture with a door on the front and shelves inside, used for keeping things",The plates are in that cupboard.,Unit 05
curtain,noun,A2,"a piece of material which hangs down to cover a window, stage, etc",She drew the curtains to let the light in.,Unit 05
customer,noun,A2,a person or organization that buys things or services from a shop or business,I was serving a customer at the time.,Unit 01
customs,noun,B1,the place where your bags are examined when you are going into a country,He was stopped going through customs.,Unit 11
cutlery,noun,,"knives, forks, and spoons",a cutlery drawer,Unit 05
dad,noun,A1,father,My dad has curly brown hair.,Unit 08
dance,verb,A1,to move your feet and body to the rhythm of music,I love dancing.,Unit 03
dance,noun,A2,a set of movements that you do to music,Fiona is interested in dance.,Unit 02
dangerous,adjective,A2,"If someone or something is dangerous, they could harm you.",It's dangerous to ride a motorcycle without a helmet.,Unit 05
dark,adjective,A1,nearer to black than white in colour,dark blue/green,Unit 08
dark,adjective,A1,having black or brown hair or brown skin,"A short, dark woman with glasses arrived.",Unit 08
daughter,noun,A1,your female child,I have a daughter and two sons.,Unit 01
day,noun,A1,a period of 24 hours,the days of the week,Unit 02
day,noun,A2,the time that you usually spend at work or school,Not a good day at the office.,Unit 10
off,adverb,A2,not at work,You should take a day off.,Unit 12
day return,noun,,a ticket for a bus or train when you go somewhere and come back on the same day,a day return to Norwich,Unit 09
"Dear …,",adjective,A1,"used at the beginning of a letter, before the name of the person you are writing to","Dear Erkan,",Unit 02
decide,verb,A2,to choose something after thinking about the possibilities,She's decided to take the job.,Unit 09
degree,noun,B1,a qualification given for completing a university course,He's doing a Master's degree in business administration.,Unit 07
delayed,verb,A2,to cause something or someone to be slow or late (often passive),The flight was delayed.,Unit 11
dentist,noun,A2,someone who looks at and repairs teeth,I've got an appointment at the dentist's (=where the dentist works) tomorrow.,Unit 12
departure,noun,B1,when someone or something leaves a place,the departure of flight BA117,Unit 09
describe,verb,A2,to say what someone or something is like,I tried to describe what I had seen.,Unit 10
desert,noun,A2,"a large, hot, dry area of land with very few plants",the Sahara Desert,Unit 05
design,verb,B1,to draw or plan something before making it,He designs and makes clothes.,Unit 07
desk,noun,A1,a table that you sit at to write or work,I usually sit at my desk to write.,Unit 05
destination,noun,B1,the place where someone or something is going,Spain is a very popular holiday destination.,Unit 11
dictionary,noun,A1,a book that contains a list of words in alphabetical order with their meanings explained or written in another language,Use your dictionaries to look up any words you don't understand.,Unit 02
did,verb,A1,past tense of do,What did you do last night?,Unit 04
die,verb,A1,to stop living,He died in 1994.,Unit 13
different,adjective,A1,not the same as someone or something else,"Jo's very different from her sister, isn't she?",Unit 01
different,adjective,A1,used to talk about separate things or people of the same type,different parts of the world,Unit 02
difficult,adjective,A1,not easy to do or understand,That job was really difficult.,Unit 01
digital camera,noun,A2,a type of camera that records images that you can use and store on a computer,That was my first digital camera.,Unit 04
dining room,noun,A1,a room where you eat your meals,Could you take these plates through to the dining room?,Unit 05
dinner,noun,A1,the main meal of the day that people usually eat in the evening,We have dinner around 7:00.,Unit 04
direct,adjective,B1,going straight from one place to another without turning or stopping,Is it direct?,Unit 09
directions,noun,A2,"instructions that tell you how to get to a place, or how to do something",We stopped to ask for directions.,Unit 04
dirty,adjective,A2,not clean,dirty clothes/dishes,Unit 05
discussion,noun,B1,when people talk about something and tell each other their ideas or opinions,They were having a discussion about football.,Unit 14
dishwasher,noun,B1,"a machine that washes plates, glasses and other kitchen equipment",I was just loading the dishwasher.,Unit 05
dissertation,noun,,a very long piece of writing done as part of a course of study,She's writing a dissertation on American poetry.,Unit 07
do,auxiliary verb,A1,used with another verb to form questions and negative phrases,Do you like coffee.,Unit 03
do,verb,A1,to perform an action or job,I spend 45 minute s in the gym doing weight training.,Unit 07
doctor,noun,A1,a person whose job is to treat people who are ill or hurt,He was our family doctor.,Unit 07
